Xcoord	57485	94493	83571	65666	72542	86026	88077	72435	74031
Ycoord	6893688	6894359	6889543	6891201	6898457	6897547	6884381	6898436	6885089
network	pstats	pstats	pstats	pstats	pstats	pstats	pstats	pstats	pstats
name	Stryn-Kroken	RV15 Skjæeringsdalen	RV15 Fosnes	Stryn	Ptdata1	Ptdata2	Ptdata3	Ptdata4	Lotvatn
STNR	58900	58703	58670	58560					88.4.0
HOH	199	585	34	9	630	1253	1487	630	176
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n
Point ID	1	2	3	4	11	12	13	14	10
20.03.1980	0.7	1.5	1.4	0.5	1.1	2.1	2.1	1.1	1.8
21.03.1980	0.1	0	0	0.3	0.4	0	0	0.4	0.3
22.03.1980	0	0	0	0	0	0	0	0	0
23.03.1980	0	0	0	0	0	0	0	0	0
24.03.1980	0	0	0	0	0	0	0	0	0
25.03.1980	0	0	0	0	0	0	0	0	0
26.03.1980	0	0	0	0	0	0	0	0	0
27.03.1980	0	0	0	0	0	0	0	0	0
28.03.1980	0	0	0	0	0	0	0	0	0
29.03.1980	0	0	0	0	0	0	0	0	0
30.03.1980	0	0	0	0	0	0	0	0	0
31.03.1980	0	3.9	0.3	0	0.9	0.7	0.2	0.9	0
01.04.1980	0	0	0	0	0	0	0	0	0
02.04.1980	0	0	0	0	0	0	0	0	0
03.04.1980	0	0.1	1.8	1.7	0	1.9	2.2	0	1.9
04.04.1980	3.4	2.3	0.3	1.6	1.7	2.5	4.1	1.7	3.8
05.04.1980	2.6	6.6	4.9	2.7	6.5	7.1	8.7	6.5	7.6
06.04.1980	0.4	0	0	0	0	0	0	0	0
07.04.1980	0.1	0	0	0	0	0	0	0	0
08.04.1980	6	8.2	6.5	3.5	8.3	9.4	11.5	8.3	6.6
09.04.1980	0.1	4.1	7.9	1.5	4.5	6.2	0.1	4.5	0.3
10.04.1980	3.1	6.2	3.4	3.3	6.7	5.7	7.5	6.7	4.2
11.04.1980	15.6	18	13.9	13	15.9	14.4	15	15.9	14.2
12.04.1980	7.2	5.7	10.3	5.7	9.1	8.1	8.3	9.1	7.5
13.04.1980	0.2	0	0	0	0	0	0	0	0
14.04.1980	0	0	0	0	0	0	0	0	0
15.04.1980	2.7	2.2	1.5	0.8	2.2	2.7	2	2.2	2.8
16.04.1980	0.1	0	0	0	0	0	0	0	0
17.04.1980	4.8	5.9	4.9	4.6	6.1	6.8	8.2	6.1	5.3
18.04.1980	1.3	4.5	3.4	3.3	3.7	3.6	4	3.7	3.7
19.04.1980	12.1	11.8	7.9	8.8	13.1	9.3	5.6	13.1	0.2
20.04.1980	3.3	5.5	2.4	1.5	4.4	4.5	1	4.4	5.4
21.04.1980	1.9	3.3	3.5	0.9	2.1	2.2	0.1	2.1	2.1
22.04.1980	0	0	0	0	0	0	0	0	0
23.04.1980	0	0	0	0	0	0	0	0	0
24.04.1980	1.7	3.7	0.1	4	3.2	4	2.8	3.2	2.6
25.04.1980	0	0	0	0	0	0	0	0	0
26.04.1980	0	0	0	0	0	0	0	0	0
27.04.1980	0	0	0	0	0	0	0	0	0
28.04.1980	0.1	0	0	1.9	0.5	0	0	0.5	2
29.04.1980	0	0	0	0	0	0	0	0	0
30.04.1980	0	0	0	0	0	0	0	0	0
01.05.1980	0	0	0	0	0	0	0	0	0
02.05.1980	0	0	0	0	0	0	0	0	0
03.05.1980	0	0	0	0	0	0	0	0	0
04.05.1980	0	0	0	0	0	0	0	0	0
05.05.1980	0	0	0	0	0	0	0	0	0
06.05.1980	0	0	0	0	0	0	0	0	0
07.05.1980	0	0	0	0	0	0	0	0	0
08.05.1980	0	2.1	0	0	0	0.3	0.1	0	0
09.05.1980	3.2	4.7	0.8	0.9	2.6	4.4	7.2	2.6	2.5
10.05.1980	13.4	6.4	5.4	13.3	4.1	8.3	11.8	4.1	3
11.05.1980	0	0	0	0	0	0	0	0	0
12.05.1980	0	0	0	0	0	0	0	0	0
13.05.1980	0	0	0	0	0	0	0	0	0
14.05.1980	0	0	0	0	0	0	0	0	0
15.05.1980	0	0	0	0	0	0	0	0	0
16.05.1980	0	0	0	0	0	0	0	0	0
17.05.1980	0	0	0	0	0	0	0	0	0
18.05.1980	0	0	0	0	0	0	0	0	0
19.05.1980	0	0	0	0	0	0	0	0	0
20.05.1980	0	0	0	0	0	0	0	0	0
21.05.1980	0	0	0	0	0	0	0	0	0
22.05.1980	0	0	0	0	0	0	0	0	0
23.05.1980	0	0	0	0	0	0	0	0	0
24.05.1980	0	2	0	0	0	0.2	0.1	0	0
25.05.1980	2.5	6.8	12.1	3.3	0	10.1	10.2	0	13.9
26.05.1980	0.3	0.3	1.1	0.5	2.4	0.8	0.1	2.4	0.2
27.05.1980	0	4.7	0.1	2.3	6.9	4.9	2.6	6.9	4.3
28.05.1980	5.2	3.6	3.1	4.2	5.7	3.1	2.6	5.7	3.7
29.05.1980	4.8	7.3	2.7	3.7	7.3	9.7	12.4	7.3	4.8
30.05.1980	2.3	0.1	1.3	2.4	0.1	0.4	1.4	0.1	0.8
31.05.1980	4.2	0	4.8	1.8	1.6	0.1	2.3	1.6	0.6
01.06.1980	2.8	6.3	6.8	3.1	5.4	4.5	4.1	5.4	6.8
02.06.1980	0	0	0	0.1	0	0	0	0	0
03.06.1980	0	0	0	0	0	0	0	0	0
04.06.1980	0.1	0	0	0	0.2	0	0	0.2	0
05.06.1980	0.1	0	0	0	0	0	0	0	0
06.06.1980	0	0	0	0	0	0	0	0	0
07.06.1980	0.5	2	3.3	0.1	2.4	1.5	3.1	2.4	1
08.06.1980	0.9	0	0	1.1	0	0	0	0	5.8
09.06.1980	0.1	2	2.7	0.1	0.1	1.1	1.3	0.1	0.2
10.06.1980	3	0	0	2.2	2.5	0	0	2.5	0
11.06.1980	0	0.7	0	0	0	0.1	1.2	0	0
12.06.1980	0	0	0	0	0	0	0	0	0
13.06.1980	0.2	0	0	0.4	0.4	0	0	0.4	0
14.06.1980	0	0	0	0	0	0	0	0	0
15.06.1980	0	0	0	0	0	0	0	0	0
16.06.1980	4.1	0.2	2.4	1.6	2.8	0.4	5.8	2.8	1.9
17.06.1980	0.1	0.7	0.1	0.2	0.3	0.7	0.7	0.3	0.8
18.06.1980	3.6	0	0	0.1	1.5	0	0	1.5	0
19.06.1980	0	7.7	0	0	3.1	3.8	4.7	3.1	0
20.06.1980	1	1.4	0	0.1	1.1	0.1	2.5	1.1	0
21.06.1980	9.3	3.7	5.1	6.9	3.4	4.3	5.8	3.4	6.6
22.06.1980	3.6	1	4.8	3.8	2.3	1.7	1.3	2.3	6.2
23.06.1980	2.9	3	1.6	2	2.3	4.1	4.9	2.3	1.8
24.06.1980	3	7.3	4.6	3.3	4.9	6.5	7.5	4.9	5.1
25.06.1980	5.1	2.3	2.4	4.9	4.7	4	4	4.7	4.3
26.06.1980	0	0	0	0	0	0	0	0	0
27.06.1980	0.1	0	0	1.5	6.6	0	0	6.6	0.7
28.06.1980	0	2.3	0	0.6	0	1.5	2.3	0	0
29.06.1980	4	4	6.8	2.7	4.8	4	3.8	4.8	5.9
30.06.1980	1.5	2.3	2.2	1.8	1.7	2	1.7	1.7	2.2
01.07.1980	0.2	1.5	0	0.2	0	0.9	0	0	0
02.07.1980	0.1	0	0	0	0	0	0	0	0
03.07.1980	0	0	0	0	0.1	0	0	0.1	0.1
04.07.1980	0	4.3	3.2	0	0	7.3	6	0	2.7
05.07.1980	17.4	5.6	0.5	8.5	6.2	5.2	4.8	6.2	4
06.07.1980	0	0	0	5.2	4.3	0	0	4.3	0
07.07.1980	3.2	4.3	0.5	1.1	3.1	2.3	1.7	3.1	0
08.07.1980	0.1	1.8	0.1	0	4.3	3.1	2.6	4.3	0
09.07.1980	0	0	0	0	0	0	0	0	0
10.07.1980	0	0	0	0	0	0	0	0	0
11.07.1980	0	0	0	0	0	0	0	0	0
12.07.1980	0	0	0	0	0	0	0	0	0
13.07.1980	4.7	4.1	1.5	4.3	3.6	3.9	5	3.6	1.8
14.07.1980	1.8	4.1	4.4	2.5	2	3.8	2.4	2	3.5
15.07.1980	1.1	5	6.2	3.7	5.9	6.2	5.2	5.9	7.2
16.07.1980	2.5	4.7	0.8	1.6	3.6	5	5.2	3.6	1.4
17.07.1980	9.2	9.3	8.8	8.7	9.9	8.8	8	9.9	10.2
18.07.1980	0.1	5.1	3.2	1	2.6	2.8	2.4	2.6	2.4
19.07.1980	0.1	1	0	0.2	0.3	0.8	2.5	0.3	0
20.07.1980	2.7	3.6	2.1	2.6	2.7	3.5	3.4	2.7	2.9
21.07.1980	11.2	12.7	6.8	6	11.3	11.2	9.4	11.3	5.4
22.07.1980	5.3	8.3	3.9	3.6	4.6	6.9	8.7	4.6	3.8
23.07.1980	0.2	0	0	0.1	0.1	0	0	0.1	0
24.07.1980	0.7	0	0.1	0.2	1.5	0.3	0.7	1.5	0
25.07.1980	5.7	1.4	0.9	3.3	3.6	2.8	1.9	3.6	1.1
26.07.1980	0	0	0	0	0	0	0	0	0
27.07.1980	0	0	0	0	0	0	0	0	0
28.07.1980	0	0	0	0	0	0	0	0	0
29.07.1980	0	0	0	0	0	0	0	0	0
30.07.1980	0	0	0	0	0	0	0	0	0
31.07.1980	0	0	0	0	0	0	0	0	0
01.08.1980	0	0	0	0	0	0	0	0	0
02.08.1980	6	0	5.5	4.7	4.2	0.7	7.8	4.2	5.1
03.08.1980	2	3	0	0	0	0.5	0.6	0	0
04.08.1980	0	0	0	0	0	0	0	0	0
05.08.1980	4	7.4	3.5	3.4	5.6	5.8	9	5.6	5.2
06.08.1980	8.1	11.6	7.7	8.5	15.2	12.9	12.1	15.2	8.1
07.08.1980	0.1	4.1	0	0.1	1.7	0.9	0.1	1.7	0
08.08.1980	0	0	0	0	0	0	0	0	0
09.08.1980	0	0	0	0	0	0	0	0	0
10.08.1980	0	0	0	0	0	0	0	0	0
11.08.1980	0	0	0	0	0	0	0	0	0
12.08.1980	0	0	0	0	0	0	0	0	0
13.08.1980	0	0	0	0	0	0	0	0	0
14.08.1980	0	0	0	0	0	0	0	0	0
15.08.1980	0	0	0	0	0	0	0	0	0
16.08.1980	0	0	0	0	0	0	0	0	0
17.08.1980	0	0	0	0	0	0	0	0	0
18.08.1980	0	0	0	0	0	0	0	0	0
19.08.1980	1.4	0	0	1.8	2.1	0	0	2.1	1.7
20.08.1980	13.4	10.8	14.1	13.3	16.4	10.3	10.9	16.4	13.9
21.08.1980	6.8	0.5	5.9	10.5	5.7	5.6	4.3	5.7	6.1
22.08.1980	18.2	16.5	17.3	14.3	23.9	21.2	15.8	23.9	15.4
23.08.1980	5.9	19.7	15.7	9.8	7.4	16	10.7	7.4	6.9
24.08.1980	2.2	7.1	6.4	0.1	5.1	6.7	6.5	5.1	5.4
25.08.1980	0.4	3.3	2.1	0.9	1.9	1.5	1	1.9	1.5
26.08.1980	3.1	0.6	0.7	1.4	0.6	1.3	1.2	0.6	2.1
27.08.1980	0.1	1.6	0	0	0	0.8	2	0	0
28.08.1980	9.4	2.3	5.2	8.1	13.5	5.2	5.7	13.5	3.7
29.08.1980	2.5	4.8	2.6	2.6	3.3	4.8	5.6	3.3	2
30.08.1980	0.1	0	0	0	0	0	0	0	0
31.08.1980	0.1	0	0	0	0	0	0	0	0
01.09.1980	0.3	0	0	0.3	0	0	0	0	0
02.09.1980	3.1	1.6	2.3	3.2	3.3	2.7	2.4	3.3	0.9
03.09.1980	30	24.2	23	24.5	27.4	22.4	22.7	27.4	24.5
04.09.1980	9	9.2	9.1	9.3	9.5	7.2	7.2	9.5	7.7
05.09.1980	4.2	0.8	1.6	3.5	3	2	2.1	3	1.2
