Precipitation,Temperature,Radiation,Wind,Relative Humidity
-1.1371606e-06,-8.79561e-06,-1.9663856e-05,-1.88344e-05,-8.8284924e-07
4.835778e-07,-3.432862e-06,-1.6555356e-05,-1.6746697e-05,9.830989e-07
1.2547343e-06,-6.443885e-07,-1.3278293e-05,-1.29830905e-05,2.005357e-06
-1.1137954e-06,-1.5950081e-06,-1.0104078e-05,-1.2247879e-05,4.046036e-06
-3.860906e-06,-3.1128804e-06,-1.1684133e-05,-1.2684342e-05,2.0636985e-06
-5.2901833e-06,-5.8379183e-06,-1.7217391e-05,-1.7862209e-05,-3.3780557e-06
-5.424294e-06,-6.25914e-06,-1.6096303e-05,-1.7530214e-05,-3.6896304e-06
-9.610045e-06,-1.4660647e-05,-2.7896793e-05,-2.7075994e-05,-6.6760326e-06
-3.4255813e-06,-1.1063239e-05,-2.5187603e-05,-2.2887627e-05,-1.1936847e-06
-3.8956664e-06,-5.5747664e-06,-1.9237987e-05,-1.7300255e-05,2.7661557e-07
-2.0596053e-06,-5.061934e-06,-1.9522804e-05,-1.8350085e-05,-9.5286356e-07
-3.064678e-06,-7.0544097e-06,-2.4093286e-05,-2.0023263e-05,-8.060756e-06
-6.1201663e-06,-5.9633367e-06,-1.7122262e-05,-1.6280232e-05,-3.3950425e-06
-8.862458e-06,-6.266972e-06,-1.7696233e-05,-1.5914884e-05,-3.3515635e-06
-1.295245e-05,-1.2212632e-05,-2.2571938e-05,-2.2467908e-05,-8.854888e-06
-1.9140709e-05,-1.9503168e-05,-2.9061988e-05,-3.0023297e-05,-1.2185189e-05
-1.8739463e-05,-1.8269504e-05,-2.7875882e-05,-2.679364e-05,-9.119193e-06
-1.6075315e-05,-1.2315169e-05,-2.1429114e-05,-2.250737e-05,-3.3252222e-06
-1.3611904e-05,-1.3998671e-05,-2.2137494e-05,-2.2009568e-05,-5.4895468e-06
-1.4269477e-05,-1.39316435e-05,-2.316473e-05,-2.4039642e-05,-7.710157e-06
-1.5636524e-05,-2.152349e-05,-3.6361376e-05,-3.509084e-05,-1.332169e-05
-9.303611e-06,-1.0223957e-05,-2.0233027e-05,-2.0715208e-05,9.177774e-08
-4.232913e-06,-4.405814e-06,-2.249095e-05,-2.0280311e-05,-5.1150428e-06
-4.490474e-06,-5.2729847e-06,-2.0154208e-05,-1.9818666e-05,-2.8622928e-06
-6.4235005e-06,-4.0608757e-06,-1.628219e-05,-1.6428126e-05,-9.3654535e-07
-9.434303e-06,-8.062998e-06,-2.1865597e-05,-2.1039736e-05,-5.3188487e-06
-7.955219e-06,-7.849963e-06,-2.4343843e-05,-2.3087468e-05,-5.345696e-06
-5.205409e-06,-3.2844682e-06,-1.8080995e-05,-1.8293918e-05,2.015225e-08
-7.2855078e-06,-5.437357e-06,-1.8422812e-05,-1.8995517e-05,-9.687149e-07
-7.3005467e-06,-6.965934e-06,-2.0768672e-05,-2.0544323e-05,-3.155679e-06
-7.0536103e-06,-6.9050907e-06,-2.2651255e-05,-2.2240229e-05,-3.2488867e-06
-2.9958503e-06,-6.346422e-06,-2.0480213e-05,-1.9982439e-05,-6.1182726e-07
-1.2604489e-06,-2.271272e-06,-1.45094145e-05,-1.5876856e-05,1.9096926e-06
3.6953566e-07,-3.8118635e-06,-1.72521e-05,-1.8684214e-05,-1.6343286e-07
-9.4436933e-07,-1.6957508e-06,-1.3543658e-05,-1.3498335e-05,-2.0373295e-06
-2.3752727e-06,-3.5960302e-06,-1.3499147e-05,-1.4088881e-05,-5.617498e-07
-6.5002723e-06,-6.907371e-06,-2.1421305e-05,-2.0312422e-05,-1.708029e-06
-3.757977e-06,-4.4215467e-06,-2.0212012e-05,-2.1418287e-05,-3.4248746e-06
-1.5067906e-06,-3.0036144e-06,-1.4977487e-05,-1.6371645e-05,2.0939285e-07
-3.224323e-06,-2.0453658e-06,-1.1345293e-05,-1.3582318e-05,4.5165e-06
-3.9518086e-06,-5.6712943e-06,-3.1011463e-05,-2.607224e-05,-1.2130811e-05
-1.6557689e-06,-2.40648e-06,-1.2662623e-05,-1.41546325e-05,5.6979808e-08
-4.444668e-06,-5.8823593e-06,-2.2926035e-05,-2.0907646e-05,-1.0243628e-05
-6.651347e-06,-9.018137e-06,-2.0866102e-05,-2.0052234e-05,-5.161487e-06
-9.6798085e-06,-1.2073312e-05,-2.0453197e-05,-1.949057e-05,-4.3583705e-06
-9.7528655e-06,-1.04056e-05,-2.1132628e-05,-2.066264e-05,-2.8722793e-06
-1.36906465e-05,-9.236349e-06,-1.9246036e-05,-1.843824e-05,-1.9945453e-06
-1.3631388e-05,-1.2051228e-05,-2.3110886e-05,-2.2213679e-05,-7.1979725e-06
-1.613216e-05,-1.8575709e-05,-4.09275e-05,-3.7134614e-05,-2.4022547e-05
-9.105103e-06,-1.0413062e-05,-3.0298037e-05,-2.7264834e-05,-9.665197e-06
-9.288337e-06,-9.8322835e-06,-2.3191538e-05,-2.131934e-05,-1.396623e-06
-8.222724e-06,-4.221589e-06,-1.8522758e-05,-1.8388582e-05,-2.9188786e-06
-1.2980527e-05,-9.1834345e-06,-2.2264525e-05,-2.0660009e-05,-8.794095e-06
-1.9069523e-05,-1.9005056e-05,-3.327972e-05,-3.1359916e-05,-1.9984218e-05
-1.3948022e-05,-1.4113905e-05,-4.428092e-05,-3.8009093e-05,-2.2265123e-05
-5.007609e-06,-4.5695233e-06,-2.4945002e-05,-2.3358958e-05,-1.8226176e-06
2.5935888e-06,-2.5384984e-06,-2.3453069e-05,-2.118891e-05,9.298353e-07
5.589361e-07,2.007042e-06,-8.799165e-06,-9.362746e-06,6.810936e-06
