0,1,2,3,4
17.9,1.55,4.17,3.55,27.17
16.42,1.6,4.06,3.2,25.28
11.84,1.72,6.46,2.49,22.51
7.5,1.65,9.81,2.7,21.66
7.31,1.5899999999999999,10.0,2.94,21.84
11.62,1.49,5.96,2.79,21.86
14.77,1.46,3.8,3.07,23.1
14.83,1.46,3.62,2.94,22.85
14.78,1.6099999999999999,3.75,3.27,23.41
19.77,1.62,4.2,3.43,29.02
21.49,1.46,4.26,3.44,30.65
19.48,1.3599999999999999,4.13,3.16,28.13
17.4,1.31,4.04,2.96,25.71
16.14,1.26,3.84,2.74,23.98
14.91,1.26,3.66,2.61,22.44
14.41,1.25,3.58,2.5300000000000002,21.77
14.27,1.23,3.52,2.45,21.47
13.3,1.29,3.87,2.23,20.69
12.89,1.26,3.63,2.27,20.05
9.25,-99.0,7.01,1.85,18.11
7.82,-99.0,10.08,1.8,19.7
3.32,-99.0,12.7,1.92,17.94
0.37,-99.0,15.89,1.9,18.16
-3.5700000000000003,-99.0,18.49,1.9300000000000002,16.85
-9.54,-99.0,25.15,1.6400000000000001,17.25
-15.81,-99.0,30.47,1.63,16.29
-11.85,-99.0,26.99,1.8900000000000001,17.03
-10.85,-99.0,25.46,1.79,16.4
9.96,-99.0,4.21,1.82,15.99
11.01,-99.0,2.67,1.88,15.56
10.71,-99.0,2.52,1.8900000000000001,15.12
10.49,-99.0,2.44,1.9100000000000001,14.84
10.13,-99.0,2.45,1.8,14.38
10.03,-99.0,2.39,1.75,14.17
9.77,-99.0,2.37,1.6800000000000002,13.82
8.96,-99.0,2.73,1.52,13.21
9.53,-99.0,2.44,1.51,13.48
9.6,-99.0,2.44,1.7000000000000002,13.74
9.42,-99.0,2.46,1.9100000000000001,13.79
9.83,-99.0,2.48,1.72,14.03
9.05,-99.0,2.66,2.27,13.98
9.08,-99.0,2.5,2.2800000000000002,13.86
7.96,-99.0,3.5300000000000002,2.18,13.67
5.37,-99.0,5.71,2.27,13.35
9.51,-99.0,2.62,2.29,14.42
9.28,-99.0,2.4,2.23,13.91
9.14,-99.0,2.35,2.09,13.58
9.01,-99.0,2.32,2.05,13.38
8.71,-99.0,2.36,2.05,13.12
9.67,-99.0,2.67,2.14,14.48
10.24,-99.0,2.73,2.13,15.1
13.18,-99.0,4.1,3.06,20.34
18.39,-99.0,4.61,3.37,26.37
20.26,-99.0,4.82,2.86,27.94
18.72,-99.0,4.64,2.62,25.98
17.09,-99.0,4.4,2.4,23.89
15.36,-99.0,4.22,2.23,21.81
14.45,-99.0,4.28,2.21,20.94
13.84,-99.0,3.81,2.09,19.74
12.96,-99.0,3.49,2.01,18.46
13.08,-99.0,3.48,2.13,18.69
15.65,-99.0,4.13,2.64,22.42
20.82,-99.0,5.03,2.81,28.66
22.91,-99.0,5.16,2.7199999999999998,30.79
21.64,-99.0,4.9,2.42,28.96
19.32,-99.0,4.6,2.19,26.11
17.06,-99.0,4.22,2.16,23.44
15.56,-99.0,3.9699999999999998,2.09,21.62
14.48,-99.0,3.8,2.09,20.37
12.86,1.09,3.68,2.05,19.68
13.58,1.13,3.93,2.11,20.75
16.42,1.16,4.66,2.5,24.74
19.73,1.21,5.15,2.63,28.72
21.94,1.25,5.57,2.8,31.56
23.44,1.24,6.07,3.01,33.76
23.36,1.21,5.88,2.87,33.32
21.89,1.2,5.55,2.87,31.51
21.75,1.2,5.65,3.04,31.64
24.76,1.25,6.74,3.95,36.7
33.69,1.45,9.03,5.51,49.68
41.12,1.9300000000000002,12.78,8.27,64.1
66.84,3.03,19.38,12.95,102.2
93.76,5.01,26.41,17.32,142.5
112.54,30.92,39.73,25.38,208.57
183.33,10.35,54.52,33.01,281.21
208.7,11.29,72.55,39.43,331.97
218.62,10.35,79.03,41.52,349.52
170.52,7.78,63.98,39.97,282.25
142.35,7.13,51.81,38.24,239.53
104.78,5.98,40.36,31.01,182.13
108.15,7.14,43.67,30.81,189.77
198.74,16.21,84.39,58.63,357.97
340.87,22.54,140.99,99.8,604.2
448.6,24.9,164.33,123.14,760.97
429.48,24.58,135.31,134.16,723.53
375.16,23.56,116.78,133.3,648.8
267.12,18.09,80.27,117.33,482.81
229.53,15.13,71.43,103.06,419.15
206.61,14.26,65.88,96.23,382.98
214.12,15.52,66.98,95.28,391.9
225.9,15.95,70.14,101.44,413.43
273.6,19.11,88.7,119.79,501.2
327.95,20.12,86.19,128.69,562.95
230.07,14.28,57.59,100.82,402.76
137.77,10.24,37.91,68.06,253.98
