Precipitation,Temperature,Radiation,Wind,Relative Humidity
2.910833e-05,3.0301408e-05,2.6962101e-05,2.9614124e-05,2.531534e-05
2.5850308e-05,2.6633134e-05,2.3902698e-05,2.633986e-05,2.3121704e-05
2.3635417e-05,2.4210745e-05,2.1391763e-05,2.2317654e-05,2.000258e-05
2.573542e-05,2.519364e-05,2.19779e-05,2.3386548e-05,2.1240261e-05
2.8685365e-05,2.7626933e-05,2.4129899e-05,2.5032326e-05,2.317649e-05
2.841418e-05,2.7840853e-05,2.4399713e-05,2.520757e-05,2.3291339e-05
2.6834494e-05,2.6179283e-05,2.2822325e-05,2.370331e-05,2.1905438e-05
2.8951412e-05,2.9740004e-05,2.6513666e-05,2.8946846e-05,2.5054134e-05
2.613494e-05,2.7650276e-05,2.4828409e-05,2.8159313e-05,2.4203076e-05
2.2758626e-05,2.3613708e-05,2.0358077e-05,2.234634e-05,1.9485595e-05
2.2384236e-05,2.3615996e-05,2.061894e-05,2.335826e-05,2.0036281e-05
2.3201052e-05,2.4669856e-05,2.2105816e-05,2.4548908e-05,2.1250951e-05
2.2402413e-05,2.2503633e-05,2.045806e-05,2.3010285e-05,2.1020996e-05
2.4896575e-05,2.4168685e-05,2.091195e-05,2.1721246e-05,1.9663843e-05
2.5114412e-05,2.4399764e-05,2.1886399e-05,2.3184675e-05,2.1428397e-05
2.8523626e-05,2.7774304e-05,2.4915089e-05,2.7257754e-05,2.486954e-05
2.6696904e-05,2.5900794e-05,2.3387294e-05,2.4879004e-05,2.2594319e-05
2.3880759e-05,2.2398051e-05,1.9390694e-05,2.0553249e-05,1.9196847e-05
2.402643e-05,2.3125951e-05,1.9470033e-05,1.976573e-05,1.8756757e-05
2.5425292e-05,2.4341341e-05,2.1030373e-05,2.183625e-05,2.0560794e-05
3.266322e-05,3.341765e-05,3.0232979e-05,3.2806853e-05,2.8395863e-05
2.6264113e-05,2.6196634e-05,2.2574543e-05,2.3865061e-05,2.103438e-05
2.1875298e-05,2.2769842e-05,1.9220024e-05,1.986662e-05,1.7302733e-05
2.302564e-05,2.3241253e-05,2.0170684e-05,2.1511993e-05,1.8993916e-05
2.5472695e-05,2.439888e-05,2.1698326e-05,2.2906404e-05,2.1480011e-05
2.8169137e-05,2.726574e-05,2.3781111e-05,2.4914356e-05,2.282494e-05
3.116742e-05,3.051563e-05,2.6776119e-05,2.7596898e-05,2.5193749e-05
2.6436384e-05,2.560928e-05,2.2333987e-05,2.32821e-05,2.187325e-05
2.3660368e-05,2.2605836e-05,1.9902967e-05,2.1196693e-05,1.9767018e-05
2.6570115e-05,2.6021256e-05,2.3090224e-05,2.4390974e-05,2.221317e-05
2.947455e-05,2.8972427e-05,2.5917405e-05,2.7436881e-05,2.4878162e-05
2.804849e-05,2.8458542e-05,2.5216656e-05,2.6802985e-05,2.3879273e-05
2.4769532e-05,2.484028e-05,2.1495583e-05,2.3034494e-05,2.095651e-05
2.5184745e-05,2.5967849e-05,2.2938768e-05,2.5560228e-05,2.2733104e-05
2.3755036e-05,2.3602237e-05,2.0642623e-05,2.2046012e-05,2.016329e-05
2.7115917e-05,2.6425556e-05,2.344103e-05,2.4964349e-05,2.3089147e-05
2.9743525e-05,2.9471827e-05,2.624042e-05,2.7218957e-05,2.4372805e-05
2.7266355e-05,2.7165259e-05,2.4470728e-05,2.7341137e-05,2.5067058e-05
2.6270092e-05,2.6046298e-05,2.3110306e-05,2.525758e-05,2.3422886e-05
2.5668929e-05,2.470061e-05,2.150145e-05,2.2882896e-05,2.1193802e-05
2.6011132e-05,2.7561033e-05,2.40472e-05,2.4810766e-05,2.1867141e-05
2.2238177e-05,2.2036103e-05,1.9186387e-05,2.0764406e-05,1.910218e-05
2.5869573e-05,2.6422722e-05,2.3054346e-05,2.419067e-05,2.1559952e-05
2.8039334e-05,2.8102835e-05,2.5017662e-05,2.6617836e-05,2.3680635e-05
2.6595264e-05,2.649649e-05,2.3868059e-05,2.5317106e-05,2.3017266e-05
2.7110234e-05,2.6650629e-05,2.3544233e-05,2.5444324e-05,2.322391e-05
2.4318333e-05,2.2763244e-05,1.9988147e-05,2.061387e-05,1.941023e-05
2.360343e-05,2.226834e-05,1.949962e-05,2.011116e-05,1.8994248e-05
3.2110063e-05,3.2140364e-05,2.941929e-05,3.1140687e-05,2.7861204e-05
