Par 3:	5	0	0	0	0	0	0	-3.40282e+038	-3.40282e+038	0	0	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	0	0	-3.40282e+038	0	0	0	0	0	0	0	0	-3.40282e+038	-3.40282e+038	0	0	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	-3.40282e+038	Num Obs:	60	58	60	60	60
Par 4:	6	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	1	1	3.40282e+038	3.40282e+038	3.40282e+038	1	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	3.40282e+038	time/loc:	Gaulfoss local	Lillebudal Bru  	Hugdal Bru  	Eggafoss	Gaulfoss orig
8	5.05479	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.630517	0.175549	0.62947	-0.661075	0.485096
9	5.05619	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.630421	0.175568	0.629416	-0.661477	0.484956
10	5.01447	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.633243	0.175113	0.63096	-0.65091	0.488995
11	5.01551	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.63317	0.175121	0.630929	-0.651172	0.488895
12	5.00338	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.633985	0.174958	0.631353	-0.64808	0.490058
13	5.00379	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.633958	0.174961	0.631339	-0.648197	0.490017
14	5.00075	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634166	0.174929	0.631446	-0.647395	0.490317
15	5.00089	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634156	0.17493	0.631443	-0.647435	0.490303
16	5.00017	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634206	0.174919	0.63147	-0.647247	0.490373
17	5.00021	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634205	0.17492	0.631466	-0.647265	0.490368
18	5.00004	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634214	0.174918	0.631472	-0.647212	0.490385
19	5.00005	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634213	0.174918	0.631472	-0.647214	0.490383
20	5.00001	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634216	0.174919	0.631473	-0.647202	0.490387
21	5.00001	500000	25	0.2	10	80000	20	0.2	-0.5	1	1	10	0.1	0.1	1	300	0.1	0.1	0.1	0.5	0.2	2	0	0.1	30	0.9	0.6	5	15	20	0.4	2	0.9	100	150	0.4	0.15	0.01	0.5	20	0		0.634216	0.174919	0.631473	-0.647202	0.490387
