Precipitation,Temperature,Radiation,Wind,Relative Humidity
-5.247017e-06,8.805162e-07,-3.0494175e-06,-2.3744067e-06,-7.163326e-07
-5.247796e-06,4.2839127e-07,-3.5309138e-06,-2.7943422e-06,-1.9914885e-06
-5.903086e-06,3.1302082e-07,-3.5428943e-06,-2.8568147e-06,-1.6345883e-06
-2.0220227e-06,2.3618898e-06,-3.74566e-07,-5.513929e-07,7.5822265e-07
1.0812519e-08,4.1077947e-06,1.433608e-06,1.3708461e-06,3.044382e-06
-1.1512145e-06,3.7269986e-06,5.757896e-07,5.6701924e-07,2.2858007e-06
-1.7563727e-07,4.122478e-06,1.1839734e-06,1.0610743e-06,2.4637154e-06
-6.4720384e-06,2.897553e-07,-4.12398e-06,-3.4351133e-06,-1.9255626e-06
-7.337881e-06,-1.3510074e-06,-5.960411e-06,-5.301431e-06,-4.767365e-06
-9.370359e-06,-2.6191713e-06,-6.801963e-06,-6.1847463e-06,-5.4998186e-06
-1.0098619e-05,-3.10018e-06,-7.716093e-06,-7.745409e-06,-6.7864326e-06
-1.16828505e-05,-4.2689635e-06,-9.584996e-06,-8.893111e-06,-8.953666e-06
-6.634276e-06,-1.2385599e-06,-5.215249e-06,-4.504281e-06,-4.4981934e-06
-2.4604628e-06,1.7105848e-06,-1.4228913e-06,-8.147816e-07,-1.8341487e-07
-5.6615517e-07,2.9075582e-06,2.665562e-08,3.9863153e-07,1.1829611e-06
1.395531e-07,3.675755e-06,4.6266723e-07,9.3143393e-07,1.6079686e-06
-6.840343e-07,3.0645763e-06,-2.2799881e-08,9.285977e-07,1.8093388e-06
8.1465896e-07,3.5270357e-06,1.2628217e-06,1.6077278e-06,3.0174638e-06
1.484572e-06,4.020185e-06,1.6826599e-06,1.9830254e-06,3.05145e-06
1.8161757e-06,4.682399e-06,1.9137153e-06,2.2521444e-06,3.2479043e-06
-2.0957377e-06,3.185584e-06,-1.1115139e-06,1.7314046e-07,8.1010927e-07
-2.4293718e-06,2.3587736e-06,-6.9029977e-07,4.633092e-08,1.3601776e-06
-6.527702e-06,-3.890052e-07,-4.007167e-06,-3.6228319e-06,-2.656296e-06
-5.0269373e-06,3.0320362e-07,-3.0564713e-06,-2.7525687e-06,-1.7087219e-06
-8.788659e-08,3.3220308e-06,6.411737e-07,8.130623e-07,1.652689e-06
-2.0717026e-08,3.9090987e-06,8.255719e-07,1.1446713e-06,1.9702609e-06
-1.4318632e-06,3.961122e-06,3.725237e-07,7.287427e-07,2.046927e-06
-1.0005175e-06,3.3476324e-06,5.126996e-07,4.822565e-07,1.7372993e-06
-9.709698e-07,2.5255822e-06,7.794956e-08,1.3385268e-07,1.1261859e-06
-3.024741e-07,3.5725081e-06,6.402813e-07,8.1959564e-07,1.7111748e-06
-1.3632119e-06,3.5286369e-06,1.2758525e-07,4.6817624e-07,1.4969656e-06
-3.1898871e-06,2.262181e-06,-1.3186304e-06,-7.8864144e-07,1.256108e-07
-3.5456603e-06,1.7921383e-06,-1.3764374e-06,-1.3192571e-06,-7.035643e-08
-4.8119064e-06,1.0284831e-06,-3.0389454e-06,-3.4514042e-06,-2.9512923e-06
-3.1641775e-06,2.0719656e-06,-1.363551e-06,-1.1767929e-06,-5.3469694e-07
-1.316002e-07,3.9850133e-06,1.0871153e-06,1.3380782e-06,2.5002732e-06
-1.7027736e-06,3.2417854e-06,-1.3207362e-07,5.8134003e-07,1.5283789e-06
