Name	Linge	Juvvashøe	Balestrand	Sandane
Eier	Met.no	Met.no	NIBIO	Met.no
Point ID	22	23	24	25
Network	Rstats	Rstats	Rstats	Rstats
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n
HOH	34	1894	15	51
07.06.1980	-99	-99	-99	-99
08.06.1980	-99	-99	-99	-99
09.06.1980	-99	-99	-99	-99
10.06.1980	-99	-99	-99	-99
11.06.1980	-99	-99	-99	-99
12.06.1980	-99	-99	-99	-99
13.06.1980	-99	-99	-99	-99
14.06.1980	-99	-99	-99	-99
15.06.1980	-99	-99	-99	-99
16.06.1980	-99	-99	-99	-99
17.06.1980	-99	-99	-99	-99
18.06.1980	-99	-99	-99	-99
19.06.1980	-99	-99	-99	-99
20.06.1980	-99	-99	-99	-99
21.06.1980	-99	-99	-99	-99
22.06.1980	-99	-99	-99	-99
23.06.1980	-99	-99	-99	-99
24.06.1980	-99	-99	-99	-99
25.06.1980	-99	-99	-99	-99
26.06.1980	-99	-99	-99	-99
27.06.1980	-99	-99	-99	-99
28.06.1980	-99	-99	-99	-99
29.06.1980	-99	-99	-99	-99
30.06.1980	-99	-99	-99	-99
01.07.1980	-99	-99	-99	-99
02.07.1980	-99	-99	-99	-99
03.07.1980	-99	-99	-99	-99
04.07.1980	-99	-99	-99	-99
05.07.1980	-99	-99	-99	-99
06.07.1980	-99	-99	-99	-99
07.07.1980	-99	-99	-99	-99
08.07.1980	-99	-99	-99	-99
09.07.1980	-99	-99	-99	-99
10.07.1980	-99	-99	-99	-99
11.07.1980	-99	-99	-99	-99
12.07.1980	-99	-99	-99	-99
13.07.1980	-99	-99	-99	-99
14.07.1980	-99	-99	-99	-99
15.07.1980	-99	-99	-99	-99
16.07.1980	-99	-99	-99	-99
17.07.1980	-99	-99	-99	-99
18.07.1980	-99	-99	-99	-99
19.07.1980	-99	-99	-99	-99
20.07.1980	-99	-99	-99	-99
21.07.1980	-99	-99	-99	-99
22.07.1980	-99	-99	-99	-99
23.07.1980	-99	-99	-99	-99
24.07.1980	-99	-99	-99	-99
25.07.1980	-99	-99	-99	-99
26.07.1980	-99	-99	-99	-99
27.07.1980	-99	-99	-99	-99
28.07.1980	-99	-99	-99	-99
29.07.1980	-99	-99	-99	-99
30.07.1980	-99	-99	-99	-99
31.07.1980	-99	-99	-99	-99
01.08.1980	-99	-99	-99	-99
02.08.1980	-99	-99	-99	-99
03.08.1980	-99	-99	-99	-99
04.08.1980	-99	-99	-99	-99
05.08.1980	-99	-99	-99	-99
06.08.1980	-99	-99	-99	-99
07.08.1980	-99	-99	-99	-99
08.08.1980	-99	-99	-99	-99
09.08.1980	-99	-99	-99	-99
10.08.1980	-99	-99	-99	-99
11.08.1980	-99	-99	-99	-99
12.08.1980	-99	-99	-99	-99
13.08.1980	-99	-99	-99	-99
14.08.1980	-99	-99	-99	-99
15.08.1980	-99	-99	-99	-99
16.08.1980	-99	-99	-99	-99
17.08.1980	-99	-99	-99	-99
18.08.1980	-99	-99	-99	-99
19.08.1980	-99	-99	-99	-99
20.08.1980	-99	-99	-99	-99
21.08.1980	-99	-99	-99	-99
22.08.1980	-99	-99	-99	-99
23.08.1980	-99	-99	-99	-99
24.08.1980	-99	-99	-99	-99
25.08.1980	-99	-99	-99	-99
26.08.1980	-99	-99	-99	-99
27.08.1980	-99	-99	-99	-99
28.08.1980	-99	-99	-99	-99
29.08.1980	-99	-99	-99	-99
30.08.1980	-99	-99	-99	-99
31.08.1980	-99	-99	-99	-99
01.09.1980	-99	-99	-99	-99
02.09.1980	-99	-99	-99	-99
03.09.1980	-99	-99	-99	-99
04.09.1980	-99	-99	-99	-99
05.09.1980	-99	-99	-99	-99
06.09.1980	-99	-99	-99	-99
07.09.1980	-99	-99	-99	-99
08.09.1980	-99	-99	-99	-99
09.09.1980	-99	-99	-99	-99
10.09.1980	-99	-99	-99	-99
11.09.1980	-99	-99	-99	-99
12.09.1980	-99	-99	-99	-99
13.09.1980	-99	-99	-99	-99
14.09.1980	-99	-99	-99	-99
15.09.1980	-99	-99	-99	-99
16.09.1980	-99	-99	-99	-99
17.09.1980	-99	-99	-99	-99
18.09.1980	-99	-99	-99	-99
19.09.1980	-99	-99	-99	-99
20.09.1980	-99	-99	-99	-99
21.09.1980	-99	-99	-99	-99
22.09.1980	-99	-99	-99	-99
23.09.1980	-99	-99	-99	-99
24.09.1980	-99	-99	-99	-99
25.09.1980	-99	-99	-99	-99
26.09.1980	-99	-99	-99	-99
27.09.1980	-99	-99	-99	-99
28.09.1980	-99	-99	-99	-99
29.09.1980	-99	-99	-99	-99
30.09.1980	-99	-99	-99	-99
01.10.1980	-99	-99	-99	-99
02.10.1980	-99	-99	-99	-99
03.10.1980	-99	-99	-99	-99
04.10.1980	-99	-99	-99	-99
05.10.1980	-99	-99	-99	-99
06.10.1980	-99	-99	-99	-99
07.10.1980	-99	-99	-99	-99
08.10.1980	-99	-99	-99	-99
09.10.1980	-99	-99	-99	-99
10.10.1980	-99	-99	-99	-99
11.10.1980	-99	-99	-99	-99
12.10.1980	-99	-99	-99	-99
13.10.1980	-99	-99	-99	-99
14.10.1980	-99	-99	-99	-99
15.10.1980	-99	-99	-99	-99
16.10.1980	-99	-99	-99	-99
17.10.1980	-99	-99	-99	-99
18.10.1980	-99	-99	-99	-99
19.10.1980	-99	-99	-99	-99
20.10.1980	-99	-99	-99	-99
21.10.1980	-99	-99	-99	-99
22.10.1980	-99	-99	-99	-99
23.10.1980	-99	-99	-99	-99
24.10.1980	-99	-99	-99	-99
25.10.1980	-99	-99	-99	-99
26.10.1980	-99	-99	-99	-99
27.10.1980	-99	-99	-99	-99
28.10.1980	-99	-99	-99	-99
29.10.1980	-99	-99	-99	-99
30.10.1980	-99	-99	-99	-99
31.10.1980	-99	-99	-99	-99
01.11.1980	-99	-99	-99	-99
02.11.1980	-99	-99	-99	-99
03.11.1980	-99	-99	-99	-99
04.11.1980	-99	-99	-99	-99
05.11.1980	-99	-99	-99	-99
06.11.1980	-99	-99	-99	-99
07.11.1980	-99	-99	-99	-99
08.11.1980	-99	-99	-99	-99
09.11.1980	-99	-99	-99	-99
10.11.1980	-99	-99	-99	-99
11.11.1980	-99	-99	-99	-99
12.11.1980	-99	-99	-99	-99
13.11.1980	-99	-99	-99	-99
14.11.1980	-99	-99	-99	-99
15.11.1980	-99	-99	-99	-99
16.11.1980	-99	-99	-99	-99
17.11.1980	-99	-99	-99	-99
18.11.1980	-99	-99	-99	-99
19.11.1980	-99	-99	-99	-99
20.11.1980	-99	-99	-99	-99
21.11.1980	-99	-99	-99	-99
22.11.1980	-99	-99	-99	-99
23.11.1980	-99	-99	-99	-99
24.11.1980	-99	-99	-99	-99
25.11.1980	-99	-99	-99	-99
26.11.1980	-99	-99	-99	-99
27.11.1980	-99	-99	-99	-99
28.11.1980	-99	-99	-99	-99
29.11.1980	-99	-99	-99	-99
30.11.1980	-99	-99	-99	-99
01.12.1980	-99	-99	-99	-99
02.12.1980	-99	-99	-99	-99
03.12.1980	-99	-99	-99	-99
04.12.1980	-99	-99	-99	-99
05.12.1980	-99	-99	-99	-99
06.12.1980	-99	-99	-99	-99
07.12.1980	-99	-99	-99	-99
08.12.1980	-99	-99	-99	-99
09.12.1980	-99	-99	-99	-99
10.12.1980	-99	-99	-99	-99
11.12.1980	-99	-99	-99	-99
12.12.1980	-99	-99	-99	-99
