Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	1
Created on:	2025-06-12 18:24
Variable:	Qstats_2	SimDischarge
	Reference	0
Missing:		-99
30.01.2000 00:00	4.06	2.7957
31.01.2000 00:00	6.46	2.52701
01.02.2000 00:00	9.81	2.37794
02.02.2000 00:00	10	2.2697
03.02.2000 00:00	5.96	2.18297
04.02.2000 00:00	3.8	2.21934
05.02.2000 00:00	3.62	2.18983
06.02.2000 00:00	3.75	2.12804
07.02.2000 00:00	4.2	2.37045
08.02.2000 00:00	4.26	2.47266
09.02.2000 00:00	4.13	2.21362
10.02.2000 00:00	4.04	2.37148
11.02.2000 00:00	3.84	2.40956
12.02.2000 00:00	3.66	2.6993
13.02.2000 00:00	3.58	2.85266
14.02.2000 00:00	3.52	2.48035
15.02.2000 00:00	3.87	2.23587
16.02.2000 00:00	3.63	2.10227
17.02.2000 00:00	7.01	2.01808
18.02.2000 00:00	10.08	1.96861
19.02.2000 00:00	12.7	1.93471
20.02.2000 00:00	15.89	1.90784
21.02.2000 00:00	18.49	1.8846
22.02.2000 00:00	25.15	1.86592
23.02.2000 00:00	30.47	1.84741
24.02.2000 00:00	26.99	1.82915
25.02.2000 00:00	25.46	1.81107
26.02.2000 00:00	4.21	1.79336
27.02.2000 00:00	2.67	1.77866
28.02.2000 00:00	2.52	1.76383
29.02.2000 00:00	2.44	1.74628
01.03.2000 00:00	2.45	1.83489
02.03.2000 00:00	2.39	1.8987
03.03.2000 00:00	2.37	1.84747
04.03.2000 00:00	2.73	1.80229
05.03.2000 00:00	2.44	1.76189
06.03.2000 00:00	2.44	2.21623
07.03.2000 00:00	2.46	2.71521
08.03.2000 00:00	2.48	2.60845
09.03.2000 00:00	2.66	2.35022
10.03.2000 00:00	2.5	2.14463
11.03.2000 00:00	3.53	1.98291
12.03.2000 00:00	5.71	1.8653
13.03.2000 00:00	2.62	1.94602
14.03.2000 00:00	2.4	1.95559
15.03.2000 00:00	2.35	1.80075
16.03.2000 00:00	2.32	1.73381
17.03.2000 00:00	2.36	1.96332
18.03.2000 00:00	2.67	2.15374
19.03.2000 00:00	2.73	2.54466
20.03.2000 00:00	4.1	3.33747
21.03.2000 00:00	4.61	3.61747
22.03.2000 00:00	4.82	3.28063
23.03.2000 00:00	4.64	2.86569
24.03.2000 00:00	4.4	2.53764
25.03.2000 00:00	4.22	2.2705
26.03.2000 00:00	4.28	2.05381
27.03.2000 00:00	3.81	1.87848
28.03.2000 00:00	3.49	1.7515
29.03.2000 00:00	3.48	1.7111
30.03.2000 00:00	4.13	1.65772
31.03.2000 00:00	5.03	1.80945
01.04.2000 00:00	5.16	1.86736
02.04.2000 00:00	4.9	1.67994
03.04.2000 00:00	4.6	1.56721
04.04.2000 00:00	4.22	1.51827
05.04.2000 00:00	3.97	1.50157
06.04.2000 00:00	3.8	1.50056
07.04.2000 00:00	3.68	1.48792
08.04.2000 00:00	3.93	1.46135
09.04.2000 00:00	4.66	1.44415
10.04.2000 00:00	5.15	1.42984
11.04.2000 00:00	5.57	1.41879
12.04.2000 00:00	6.07	1.55626
13.04.2000 00:00	5.88	1.63017
14.04.2000 00:00	5.55	1.84871
15.04.2000 00:00	5.65	2.51509
16.04.2000 00:00	6.74	2.97068
17.04.2000 00:00	9.03	2.89161
18.04.2000 00:00	12.78	2.86294
19.04.2000 00:00	19.38	3.65573
20.04.2000 00:00	26.41	5.12967
21.04.2000 00:00	39.73	5.55022
22.04.2000 00:00	54.52	6.37753
23.04.2000 00:00	72.55	10.0767
24.04.2000 00:00	79.03	12.3871
25.04.2000 00:00	63.98	11.1738
26.04.2000 00:00	51.81	9.2591
27.04.2000 00:00	40.36	7.96174
28.04.2000 00:00	43.67	9.3005
29.04.2000 00:00	84.39	28.5514
30.04.2000 00:00	140.99	76.857
01.05.2000 00:00	164.33	115.612
02.05.2000 00:00	135.31	116.017
03.05.2000 00:00	116.78	95.3932
04.05.2000 00:00	80.27	77.3276
05.05.2000 00:00	71.43	63.7004
06.05.2000 00:00	65.88	74.6975
07.05.2000 00:00	66.98	88.9158
08.05.2000 00:00	70.14	90.0336
09.05.2000 00:00	88.7	108.271
10.05.2000 00:00	86.19	107.988
11.05.2000 00:00	57.59	78.6018
12.05.2000 00:00	37.91	53.6759
13.05.2000 00:00	48.42	62.2
14.05.2000 00:00	63.31	97.465
15.05.2000 00:00	63.47	126.592
16.05.2000 00:00	68.42	152.443
17.05.2000 00:00	90.87	189.279
18.05.2000 00:00	84.22	213.91
19.05.2000 00:00	49.35	207.661
20.05.2000 00:00	37.63	170.961
21.05.2000 00:00	29.36	127.129
22.05.2000 00:00	26.6	108.96
23.05.2000 00:00	35.93	102.015
24.05.2000 00:00	31.57	92.1139
25.05.2000 00:00	37.29	84.5951
26.05.2000 00:00	24.22	78.369
27.05.2000 00:00	20.46	73.3303
28.05.2000 00:00	23.5	67.7793
29.05.2000 00:00	25.2	63.9374
30.05.2000 00:00	29.13	57.5967
31.05.2000 00:00	18.61	53.7199
01.06.2000 00:00	18.39	55.0949
02.06.2000 00:00	18.84	58.5808
