Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	0
Created on:	2025-06-12 18:24
Variable:	Qstats_1	SimDischarge
	Reference	0
Missing:		-99
27.01.2000 00:00	1.4	1.32787
28.01.2000 00:00	1.46	1.1085
29.01.2000 00:00	1.55	0.913411
30.01.2000 00:00	1.6	0.789426
31.01.2000 00:00	1.72	0.684227
01.02.2000 00:00	1.65	0.64134
02.02.2000 00:00	1.59	0.635187
03.02.2000 00:00	1.49	0.628999
04.02.2000 00:00	1.46	0.623556
05.02.2000 00:00	1.46	0.617843
06.02.2000 00:00	1.61	0.611634
07.02.2000 00:00	1.62	0.670871
08.02.2000 00:00	1.46	0.685229
09.02.2000 00:00	1.36	0.60743
10.02.2000 00:00	1.31	0.63235
11.02.2000 00:00	1.26	0.6138
12.02.2000 00:00	1.26	0.607957
13.02.2000 00:00	1.25	0.599356
14.02.2000 00:00	1.23	0.592258
15.02.2000 00:00	1.29	0.586383
16.02.2000 00:00	1.26	0.58056
17.02.2000 00:00	-99	0.574791
18.02.2000 00:00	-99	0.569076
19.02.2000 00:00	-99	0.563418
20.02.2000 00:00	-99	0.557812
21.02.2000 00:00	-99	0.552265
22.02.2000 00:00	-99	0.546776
23.02.2000 00:00	-99	0.541344
24.02.2000 00:00	-99	0.535968
25.02.2000 00:00	-99	0.530643
26.02.2000 00:00	-99	0.525371
27.02.2000 00:00	-99	0.520349
28.02.2000 00:00	-99	0.51537
29.02.2000 00:00	-99	0.510242
01.03.2000 00:00	-99	0.505654
02.03.2000 00:00	-99	0.50111
03.03.2000 00:00	-99	0.496625
04.03.2000 00:00	-99	0.492213
05.03.2000 00:00	-99	0.487567
06.03.2000 00:00	-99	0.489638
07.03.2000 00:00	-99	0.489976
08.03.2000 00:00	-99	0.482947
09.03.2000 00:00	-99	0.476641
10.03.2000 00:00	-99	0.47061
11.03.2000 00:00	-99	0.464445
12.03.2000 00:00	-99	0.458591
13.03.2000 00:00	-99	0.454404
14.03.2000 00:00	-99	0.450693
15.03.2000 00:00	-99	0.44562
16.03.2000 00:00	-99	0.440186
17.03.2000 00:00	-99	0.434964
18.03.2000 00:00	-99	0.430668
19.03.2000 00:00	-99	0.493397
20.03.2000 00:00	-99	0.553748
21.03.2000 00:00	-99	0.518956
22.03.2000 00:00	-99	0.450845
23.03.2000 00:00	-99	0.432026
24.03.2000 00:00	-99	0.426856
25.03.2000 00:00	-99	0.422657
26.03.2000 00:00	-99	0.418484
27.03.2000 00:00	-99	0.414343
28.03.2000 00:00	-99	0.410239
29.03.2000 00:00	-99	0.4074
30.03.2000 00:00	-99	0.404683
31.03.2000 00:00	-99	0.402205
01.04.2000 00:00	-99	0.399052
02.04.2000 00:00	-99	0.394111
03.04.2000 00:00	-99	0.389552
04.04.2000 00:00	-99	0.385683
05.04.2000 00:00	-99	0.381929
06.04.2000 00:00	-99	0.378217
07.04.2000 00:00	1.09	0.374501
08.04.2000 00:00	1.13	0.370859
09.04.2000 00:00	1.16	0.367225
10.04.2000 00:00	1.21	0.363584
11.04.2000 00:00	1.25	0.360574
12.04.2000 00:00	1.24	0.361105
13.04.2000 00:00	1.21	0.357213
14.04.2000 00:00	1.2	0.353169
15.04.2000 00:00	1.2	0.353568
16.04.2000 00:00	1.25	0.350591
17.04.2000 00:00	1.45	0.347691
18.04.2000 00:00	1.93	0.345148
19.04.2000 00:00	3.03	0.353623
20.04.2000 00:00	5.01	0.405437
21.04.2000 00:00	30.92	0.428241
22.04.2000 00:00	10.35	0.52373
23.04.2000 00:00	11.29	0.868961
24.04.2000 00:00	10.35	1.01336
25.04.2000 00:00	7.78	0.882308
26.04.2000 00:00	7.13	0.782453
27.04.2000 00:00	5.98	0.71919
28.04.2000 00:00	7.14	0.83234
29.04.2000 00:00	16.21	3.62243
30.04.2000 00:00	22.54	10.7905
01.05.2000 00:00	24.9	18.2412
02.05.2000 00:00	24.58	21.5069
03.05.2000 00:00	23.56	19.1246
04.05.2000 00:00	18.09	15.4568
05.05.2000 00:00	15.13	12.7854
06.05.2000 00:00	14.26	16.1576
07.05.2000 00:00	15.52	20.5116
08.05.2000 00:00	15.95	21.4654
09.05.2000 00:00	19.11	27.1709
10.05.2000 00:00	20.12	27.2225
11.05.2000 00:00	14.28	19.2955
12.05.2000 00:00	10.24	12.8377
13.05.2000 00:00	12.34	15.0742
14.05.2000 00:00	16.1	24.1086
15.05.2000 00:00	16.94	31.3237
16.05.2000 00:00	20.47	38.3629
17.05.2000 00:00	29.02	49.3565
18.05.2000 00:00	25.83	55.3165
19.05.2000 00:00	19.39	51.5561
20.05.2000 00:00	15.05	42.0556
21.05.2000 00:00	11.66	32.221
22.05.2000 00:00	11.14	28.5076
23.05.2000 00:00	11.61	26.5419
24.05.2000 00:00	12.23	24.3931
25.05.2000 00:00	12.37	23.1681
26.05.2000 00:00	9.2	21.7659
27.05.2000 00:00	8.58	20.7786
28.05.2000 00:00	13.01	19.5929
29.05.2000 00:00	11.85	18.859
30.05.2000 00:00	10.15	16.3402
31.05.2000 00:00	7.54	16.3231
01.06.2000 00:00	6.97	18.6856
02.06.2000 00:00	9.43	20.1377
03.06.2000 00:00	8.8	18.2773
04.06.2000 00:00	5.9	13.8007
05.06.2000 00:00	4.97	11.5828
06.06.2000 00:00	5.69	11.4858
07.06.2000 00:00	6.78	12.5664
08.06.2000 00:00	6.6	11.8167
09.06.2000 00:00	6.65	12.3238
10.06.2000 00:00	10.92	14.2683
11.06.2000 00:00	11.33	15.894
12.06.2000 00:00	7.78	16.1064
13.06.2000 00:00	8.4	15.4279
14.06.2000 00:00	7.13	13.6707
15.06.2000 00:00	5.29	11.7091
16.06.2000 00:00	6.84	12.0585
17.06.2000 00:00	6.13	12.4358
18.06.2000 00:00	6.54	11.0934
19.06.2000 00:00	8.49	10.1004
20.06.2000 00:00	7.95	10.3883
21.06.2000 00:00	10.18	12.8003
22.06.2000 00:00	14.76	17.1373
23.06.2000 00:00	15.17	21.1404
24.06.2000 00:00	14.31	19.7172
25.06.2000 00:00	9.53	14.6209
26.06.2000 00:00	8.45	13.7052
27.06.2000 00:00	12.83	19.6995
28.06.2000 00:00	17.09	20.2991
29.06.2000 00:00	15.63	14.8305
30.06.2000 00:00	12.54	12.2586
01.07.2000 00:00	11.11	12.6416
02.07.2000 00:00	13.41	14.5447
03.07.2000 00:00	15.36	14.0998
04.07.2000 00:00	9.37	11.1027
05.07.2000 00:00	6.9	8.762
06.07.2000 00:00	6.67	13.2779
07.07.2000 00:00	14.1	17.028
08.07.2000 00:00	13.57	13.8516
09.07.2000 00:00	9.73	10.6466
10.07.2000 00:00	6.98	8.63338
11.07.2000 00:00	6.69	7.54237
12.07.2000 00:00	7.46	7.24874
13.07.2000 00:00	9.37	11.4757
14.07.2000 00:00	16.9	14.4019
15.07.2000 00:00	10.48	12.0507
16.07.2000 00:00	11.53	10.4669
17.07.2000 00:00	11.56	8.86774
18.07.2000 00:00	8.03	7.18263
19.07.2000 00:00	8.29	7.86771
20.07.2000 00:00	11.28	7.82532
21.07.2000 00:00	7.1	6.38214
22.07.2000 00:00	5.41	5.70797
23.07.2000 00:00	4.99	5.15746
24.07.2000 00:00	5.79	5.08285
25.07.2000 00:00	5.96	4.95242
26.07.2000 00:00	4.47	4.44802
27.07.2000 00:00	3.65	4.02297
28.07.2000 00:00	3.16	3.60872
29.07.2000 00:00	2.78	3.21217
