Simulated output from ENKI model framework
Region:	HBV snow/Stryn
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynInput.nc
Output:	C:\Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Stryn\HBV snow\StrynOutAttempt.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	1
Created on:	2025-06-10 15:17
Variable:	Qstats_5	SimDischarge
	Reference	0
Missing:		-99
05.06.1980 00:00	-99	23.5792
06.06.1980 00:00	-99	23.9806
07.06.1980 00:00	-99	26.0676
08.06.1980 00:00	-99	26.5856
09.06.1980 00:00	-99	25.2677
10.06.1980 00:00	-99	22.8087
11.06.1980 00:00	-99	20.1126
12.06.1980 00:00	-99	17.6754
13.06.1980 00:00	-99	15.4718
14.06.1980 00:00	-99	13.9133
15.06.1980 00:00	-99	12.8181
16.06.1980 00:00	-99	13.0127
17.06.1980 00:00	-99	12.7114
18.06.1980 00:00	-99	11.3839
19.06.1980 00:00	-99	11.943
20.06.1980 00:00	-99	12.2601
21.06.1980 00:00	-99	13.2443
22.06.1980 00:00	-99	14.5989
23.06.1980 00:00	-99	14.5972
24.06.1980 00:00	-99	16.6864
25.06.1980 00:00	-99	18.4041
26.06.1980 00:00	-99	16.2945
27.06.1980 00:00	-99	13.3976
28.06.1980 00:00	-99	11.8235
29.06.1980 00:00	-99	12.7398
30.06.1980 00:00	-99	13.6795
01.07.1980 00:00	-99	12.1825
02.07.1980 00:00	-99	10.2064
03.07.1980 00:00	-99	8.68034
04.07.1980 00:00	-99	9.27315
05.07.1980 00:00	-99	11.4175
06.07.1980 00:00	-99	11.366
07.07.1980 00:00	-99	10.4521
08.07.1980 00:00	-99	10.199
09.07.1980 00:00	-99	9.1054
10.07.1980 00:00	-99	7.85961
11.07.1980 00:00	-99	7.1671
12.07.1980 00:00	-99	6.79299
13.07.1980 00:00	-99	7.51334
14.07.1980 00:00	-99	9.06485
15.07.1980 00:00	-99	11.4939
16.07.1980 00:00	-99	13.3287
17.07.1980 00:00	-99	16.752
18.07.1980 00:00	-99	19.4267
19.07.1980 00:00	-99	17.5939
20.07.1980 00:00	-99	15.9649
21.07.1980 00:00	-99	19.2121
22.07.1980 00:00	-99	23.4969
23.07.1980 00:00	-99	22.0348
24.07.1980 00:00	-99	17.9511
25.07.1980 00:00	-99	15.4354
26.07.1980 00:00	-99	13.2282
27.07.1980 00:00	-99	10.8042
28.07.1980 00:00	-99	9.04518
29.07.1980 00:00	-99	7.93039
30.07.1980 00:00	-99	7.36524
31.07.1980 00:00	-99	7.10856
01.08.1980 00:00	-99	6.90594
02.08.1980 00:00	-99	7.85503
03.08.1980 00:00	-99	8.26451
04.08.1980 00:00	-99	7.16141
05.08.1980 00:00	-99	9.14288
06.08.1980 00:00	-99	15.5083
07.08.1980 00:00	-99	18.2226
08.08.1980 00:00	-99	15.2856
09.08.1980 00:00	-99	12.2186
10.08.1980 00:00	-99	9.84389
11.08.1980 00:00	-99	8.21286
12.08.1980 00:00	-99	7.30303
13.08.1980 00:00	-99	6.94732
14.08.1980 00:00	-99	6.75301
15.08.1980 00:00	-99	6.56265
16.08.1980 00:00	-99	6.37669
17.08.1980 00:00	-99	6.19601
18.08.1980 00:00	-99	6.02133
19.08.1980 00:00	-99	5.8764
20.08.1980 00:00	-99	11.5444
21.08.1980 00:00	-99	17.2841
22.08.1980 00:00	-99	25.629
23.08.1980 00:00	-99	41.5109
24.08.1980 00:00	-99	46.4119
