Name	Oppstryn	Flo	StrynKroken	Grotli Iii	Åkerneset	Ørsta - Eitrefjell
Eier	Kommune	Kommune	Met.no	Met.No	NVE	Met.no
Point ID	7	8	1	32	31	30
Network	Hstats	Hstats	Hstats	Hstats	Hstats	Hstats
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n	utm-33n
HOH	307	29	199	872	900	690
Missing	-99	-99	-99	-99	-99	-99
Xcoord	92543	82308	57485	116537	84028	47058
Ycoord	6891071	6893786	6893688	6897712	6921226	5922540
Min	10.0	30.0	22.0	39.0	16.0	15.0
01.01.1980	67	84	-99	-99	-99	-99
02.01.1980	54	76	-99	-99	-99	-99
03.01.1980	26	73	-99	-99	-99	-99
04.01.1980	26	31	-99	-99	-99	-99
05.01.1980	41	43	-99	-99	-99	-99
06.01.1980	45	53	-99	-99	-99	-99
07.01.1980	68	75	-99	-99	-99	-99
08.01.1980	57	82	-99	-99	-99	-99
09.01.1980	51	60	-99	-99	-99	-99
10.01.1980	44	57	-99	-99	-99	-99
11.01.1980	51	60	-99	-99	-99	-99
12.01.1980	92	87	-99	-99	-99	-99
13.01.1980	81	68	-99	-99	-99	-99
14.01.1980	80	94	-99	-99	-99	-99
15.01.1980	91	70	-99	-99	-99	-99
16.01.1980	95	90	-99	-99	-99	-99
17.01.1980	84	84	-99	-99	-99	-99
18.01.1980	99	100	-99	-99	-99	-99
19.01.1980	41	82	-99	-99	-99	-99
20.01.1980	44	43	-99	-99	-99	-99
21.01.1980	38	39	-99	-99	-99	-99
22.01.1980	42	42	-99	-99	-99	-99
23.01.1980	43	42	-99	-99	-99	-99
24.01.1980	47	52	-99	-99	-99	-99
25.01.1980	53	63	-99	-99	-99	-99
26.01.1980	94	95	-99	-99	-99	-99
27.01.1980	83	79	-99	-99	-99	-99
28.01.1980	94	95	-99	-99	-99	-99
29.01.1980	95	91	-99	-99	-99	-99
30.01.1980	45	64	-99	-99	-99	-99
31.01.1980	30	53	-99	-99	-99	-99
01.02.1980	65	76	-99	-99	-99	-99
02.02.1980	93	93	-99	-99	-99	-99
03.02.1980	95	87	-99	-99	-99	-99
04.02.1980	91	91	-99	-99	-99	-99
05.02.1980	33	80	-99	-99	-99	-99
06.02.1980	19	87	-99	-99	-99	-99
07.02.1980	23	60	-99	-99	-99	-99
08.02.1980	20	75	-99	-99	-99	-99
09.02.1980	37	48	-99	-99	-99	-99
10.02.1980	36	49	-99	-99	-99	-99
11.02.1980	54	71	-99	-99	-99	-99
12.02.1980	68	95	-99	-99	-99	-99
13.02.1980	75	94	-99	-99	-99	-99
14.02.1980	98	98	-99	-99	-99	-99
15.02.1980	81	87	-99	-99	-99	-99
16.02.1980	89	96	-99	-99	-99	-99
17.02.1980	66	86	-99	-99	-99	-99
18.02.1980	53	76	-99	-99	-99	-99
19.02.1980	60	58	-99	-99	-99	-99
20.02.1980	22	72	-99	-99	-99	-99
21.02.1980	16	42	-99	-99	-99	-99
22.02.1980	12	30	-99	-99	-99	-99
23.02.1980	26	79	-99	-99	-99	-99
24.02.1980	51	90	-99	-99	-99	-99
25.02.1980	68	91	-99	-99	-99	-99
26.02.1980	82	91	-99	-99	-99	-99
27.02.1980	81	91	-99	-99	-99	-99
28.02.1980	83	86	-99	-99	-99	-99
29.02.1980	97	-99	-99	-99	-99	-99
01.03.1980	82	89	-99	-99	-99	-99
02.03.1980	86	90	-99	-99	-99	-99
03.03.1980	85	84	-99	-99	-99	-99
04.03.1980	93	97	-99	-99	-99	-99
05.03.1980	88	94	-99	-99	-99	-99
06.03.1980	62	71	-99	-99	-99	-99
07.03.1980	45	45	-99	-99	-99	-99
08.03.1980	48	69	-99	-99	-99	-99
09.03.1980	50	70	-99	-99	-99	-99
10.03.1980	57	80	-99	-99	-99	-99
11.03.1980	45	57	-99	-99	-99	-99
12.03.1980	42	50	-99	-99	-99	-99
13.03.1980	36	45	-99	-99	-99	-99
14.03.1980	46	53	-99	-99	-99	-99
15.03.1980	42	67	-99	-99	-99	-99
16.03.1980	44	54	-99	-99	-99	-99
17.03.1980	23	37	-99	-99	-99	-99
18.03.1980	32	47	-99	-99	-99	-99
19.03.1980	46	60	-99	-99	-99	-99
20.03.1980	87	95	-99	-99	-99	-99
21.03.1980	44	67	-99	-99	-99	-99
22.03.1980	29	44	-99	-99	-99	-99
23.03.1980	22	56	-99	-99	-99	-99
24.03.1980	30	68	-99	-99	-99	-99
25.03.1980	25	50	-99	-99	-99	-99
26.03.1980	39	52	-99	-99	-99	-99
27.03.1980	32	48	-99	-99	-99	-99
28.03.1980	50	59	-99	-99	-99	-99
29.03.1980	50	60	-99	-99	-99	-99
30.03.1980	86	86	-99	-99	-99	-99
31.03.1980	66	70	-99	-99	-99	-99
01.04.1980	36	52	-99	-99	-99	-99
02.04.1980	45	66	-99	-99	-99	-99
03.04.1980	72	85	-99	-99	-99	-99
04.04.1980	80	87	-99	-99	-99	-99
05.04.1980	83	92	-99	-99	-99	-99
06.04.1980	73	76	-99	-99	-99	-99
07.04.1980	79	89	-99	-99	-99	-99
08.04.1980	95	87	-99	-99	-99	-99
09.04.1980	83	86	-99	-99	-99	-99
10.04.1980	86	93	-99	-99	-99	-99
11.04.1980	89	93	-99	-99	-99	-99
12.04.1980	83	88	-99	-99	-99	-99
13.04.1980	51	71	-99	-99	-99	-99
14.04.1980	47	70	-99	-99	-99	-99
15.04.1980	75	84	-99	-99	-99	-99
16.04.1980	72	86	-99	-99	-99	-99
17.04.1980	79	76	-99	-99	-99	-99
18.04.1980	93	92	-99	-99	-99	-99
19.04.1980	61	79	-99	-99	-99	-99
20.04.1980	93	94	-99	-99	-99	-99
21.04.1980	67	64	-99	-99	-99	-99
22.04.1980	51	73	-99	-99	-99	-99
23.04.1980	86	90	-99	-99	-99	-99
24.04.1980	48	56	-99	-99	-99	-99
25.04.1980	49	64	-99	-99	-99	-99
26.04.1980	37	70	-99	-99	-99	-99
27.04.1980	57	70	-99	-99	-99	-99
28.04.1980	69	80	-99	-99	-99	-99
29.04.1980	73	73	-99	-99	-99	-99
30.04.1980	52	64	-99	-99	-99	-99
01.05.1980	54	66	-99	-99	-99	-99
02.05.1980	54	68	-99	-99	-99	-99
03.05.1980	56	71	-99	-99	-99	-99
04.05.1980	42	64	-99	-99	-99	-99
05.05.1980	43	65	-99	-99	-99	-99
06.05.1980	62	81	-99	-99	-99	-99
07.05.1980	87	82	-99	-99	-99	-99
08.05.1980	88	83	-99	-99	-99	-99
09.05.1980	50	71	-99	-99	-99	-99
10.05.1980	57	59	-99	-99	-99	-99
11.05.1980	50	63	-99	-99	-99	-99
12.05.1980	46	64	-99	-99	-99	-99
13.05.1980	27	63	-99	-99	-99	-99
14.05.1980	43	67	-99	-99	-99	-99
15.05.1980	38	62	-99	-99	-99	-99
16.05.1980	34	58	-99	-99	-99	-99
17.05.1980	29	59	-99	-99	-99	-99
18.05.1980	37	60	-99	-99	-99	-99
19.05.1980	37	50	-99	-99	-99	-99
20.05.1980	62	72	-99	-99	-99	-99
21.05.1980	53	63	-99	-99	-99	-99
22.05.1980	69	84	-99	-99	-99	-99
23.05.1980	58	68	-99	-99	-99	-99
24.05.1980	93	89	-99	-99	-99	-99
25.05.1980	78	76	-99	-99	-99	-99
26.05.1980	90	80	-99	-99	-99	-99
27.05.1980	64	75	-99	-99	-99	-99
28.05.1980	91	87	-99	-99	-99	-99
29.05.1980	53	69	-99	-99	-99	-99
30.05.1980	57	74	-99	-99	-99	-99
31.05.1980	94	92	-99	-99	-99	-99
01.06.1980	86	73	-99	-99	-99	-99
02.06.1980	77	70	-99	-99	-99	-99
03.06.1980	52	68	-99	-99	-99	-99
04.06.1980	72	83	-99	-99	-99	-99
05.06.1980	59	72	-99	-99	-99	-99
06.06.1980	44	78	-99	-99	-99	-99
07.06.1980	51	86	-99	-99	-99	-99
08.06.1980	59	82	-99	-99	-99	-99
09.06.1980	77	88	-99	-99	-99	-99
10.06.1980	76	94	-99	-99	-99	-99
11.06.1980	63	76	-99	-99	-99	-99
12.06.1980	49	78	-99	-99	-99	-99
13.06.1980	78	82	-99	-99	-99	-99
14.06.1980	62	79	-99	-99	-99	-99
15.06.1980	32	97	-99	-99	-99	-99
16.06.1980	97	83	-99	-99	-99	-99
17.06.1980	61	78	-99	-99	-99	-99
18.06.1980	55	72	-99	-99	-99	-99
19.06.1980	51	53	-99	-99	-99	-99
20.06.1980	67	80	-99	-99	-99	-99
21.06.1980	100	72	-99	-99	-99	-99
22.06.1980	91	76	-99	-99	-99	-99
23.06.1980	73	93	-99	-99	-99	-99
24.06.1980	93	81	-99	-99	-99	-99
25.06.1980	48	63	-99	-99	-99	-99
26.06.1980	73	60	-99	-99	-99	-99
27.06.1980	88	60	-99	-99	-99	-99
28.06.1980	81	85	-99	-99	-99	-99
29.06.1980	97	80	-99	-99	-99	-99
30.06.1980	65	76	-99	-99	-99	-99
01.07.1980	53	73	-99	-99	-99	-99
02.07.1980	75	78	-99	-99	-99	-99
03.07.1980	91	84	-99	-99	-99	-99
04.07.1980	74	78	-99	-99	-99	-99
05.07.1980	61	73	-99	-99	-99	-99
